index,annotation,tag,source,text,uri,label,date,checken
218,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/198a7f69-3464-4f5c-b641-e466ffdcc820,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_25,Nijkerk ,http://www.wikidata.org/entity/Q73226,,,
82,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/0aef5ead-6d48-4f80-9fc1-7cdc278ee5ea,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_4,21 December 1944,,,1944-12-21,
1864,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e2d58f6c-a9d1-47ec-9220-4af3cb8b243b,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_6,Amsterdam ,http://www.wikidata.org/entity/Q727,,,
594,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/4a641406-ebca-4507-8e22-4e6ffd9036eb,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_6,Laren ,http://www.wikidata.org/entity/Q502208,,,
1665,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/c8b5fd97-bb82-4e7f-a9b6-30dbc90a6e52,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_8,Nijkerkerpolder ,http://www.wikidata.org/entity/Q49628803,,,
1025,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/7f03ba2b-fd67-4ff7-92ce-39daf97ed59d,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_11,Veluwse ,http://www.wikidata.org/entity/Q1153251,,,
103,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/0d0b57ab-d6b4-4271-8684-940317f1b5b9,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_15,Putten ,http://www.wikidata.org/entity/Q15881071,,,
622,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/4dd603ba-5f62-4240-bf45-d3276c08e79b,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_21,Putten,http://www.wikidata.org/entity/Q15881071,,,
1057,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/824a0073-e9a3-4dca-968d-0f6be55e73a6,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_26,22 December,,,1944-12-22,gecheckt: 1944
211,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/18dc58d5-94dc-4c1c-8606-7bad09be7963,organization,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_30,Vereniging voor Vreemdelingen,http://www.wikidata.org/entity/Q16070005,,,
1103,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/885173dd-1e6f-4b9f-a9d5-79a117528c52,organization,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_31,Verkeer,http://www.wikidata.org/entity/Q16070005,,,
1507,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/b6a224ae-8734-405c-bd1c-8f71359ff67e,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_31,Nunspeet,http://www.wikidata.org/entity/Q16070330,,,
390,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/2e8d27d8-274a-423c-b532-d906acc8a8d4,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_33,"hotel ""De Veluwe""",,,,Hotel De Veluwe in Nunspeet. Nog niets over gevonden
2068,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/fecc86c9-a4ba-4ded-919a-449c505019a4,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0017_urn-gvn-EVDO01-IIAV002_IAV001000030-large_17/tr_1_tl_47,De Bijenkorf,https://adamlink.nl/geo/building/de-bijenkorf/172,,,
1241,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/97cc36eb-ddc6-4e8a-a93c-558524df2c93,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0018_urn-gvn-EVDO01-IIAV002_IAV001000030-large_18/tr_1_tl_15,Amsterdam ,http://www.wikidata.org/entity/Q727,,,
961,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/76f2b69b-cd21-4a46-bd3e-cc39112cd092,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0018_urn-gvn-EVDO01-IIAV002_IAV001000030-large_18/tr_1_tl_9,Amsterdamse ,http://www.wikidata.org/entity/Q727,,,
155,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/12d2d393-b3fd-4a79-aced-f2441e710a83,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0018_urn-gvn-EVDO01-IIAV002_IAV001000030-large_18/tr_2_tl_8,Barentz ,,,,onbekend
514,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/3e84fd26-73d0-4592-b530-f42ae7e1b7b1,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0025_urn-gvn-EVDO01-IIAV002_IAV001000030-large_25/tr_1_tl_19,19 Juli 1946,,,1946-07-19,
255,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/1c682d8b-9217-4f63-a7e5-f28106433b75,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0025_urn-gvn-EVDO01-IIAV002_IAV001000030-large_25/tr_1_tl_19,Rozenstraat,https://adamlink.nl/geo/street/rozenstraat/3901,,,
1519,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/b7fa72c8-4cc3-4343-84d0-67e260e445f7,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0014_urn-gvn-EVDO01-ROS01_KBN016000002-large_014/r_146_tl_11,Polen ,http://www.wikidata.org/entity/Q36,,,
110,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/0e2df3b9-6524-4b87-84bb-350de9b5ab94,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0014_urn-gvn-EVDO01-ROS01_KBN016000002-large_014/r_146_tl_6,Betondorp ,http://www.wikidata.org/entity/Q582916,,,
436,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/344521ce-d745-4a5b-9dd0-9d3ea843a55c,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0014_urn-gvn-EVDO01-ROS01_KBN016000002-large_014/r_56_tl_1,14 Juli 1942,,,1942-07-14,
917,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/72089f0d-5e8c-4c6f-8e00-aeb9500da71b,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0014_urn-gvn-EVDO01-ROS01_KBN016000002-large_014/r_74_tl_5,Amsterdam,http://www.wikidata.org/entity/Q727,,,
1860,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e25b650e-61bc-4712-b434-9f1c5a3a1373,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0014_urn-gvn-EVDO01-ROS01_KBN016000002-large_014/r_74_tl_5,Jodenwijken ,,,,
481,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/3a48ea7d-b41b-4bbf-8d66-087b194a991b,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0026_urn-gvn-EVDO01-ROS01_KBN016000002-large_026/r_18_tl_13,"Holl. Schouwburg,",https://adamlink.nl/geo/building/de-hollandsche-schouwburg/550,,,
129,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/102da29b-6190-464a-bbf7-8908f33a1d26,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0026_urn-gvn-EVDO01-ROS01_KBN016000002-large_026/r_18_tl_7,Polen ,http://www.wikidata.org/entity/Q36,,,
1886,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e548ea65-e959-44f5-a466-b8b8e6364796,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0026_urn-gvn-EVDO01-ROS01_KBN016000002-large_026/r_54_tl_2,7 Augustus 1942,,,1942-08-07,
411,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/3155fffe-4b78-404e-8393-01bda108f8bf,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_3,Holland,http://www.wikidata.org/entity/Q55,,,
2018,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/f6ab26b6-9f28-4ddf-bfb8-fe4a0fd994cb,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_4,Amsterdam,http://www.wikidata.org/entity/Q727,,,
233,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/1ac5157f-6816-47c2-9730-b0b06bf79f22,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_4,den Haag,http://www.wikidata.org/entity/Q36600,,,
1373,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/a62b2aa5-514c-40e4-a7fc-73ac56cf065c,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_4,Rotterdam,http://www.wikidata.org/entity/Q34370,,,
988,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/79bac28a-d04b-472d-aafc-007e112e29ef,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_7,Polen,http://www.wikidata.org/entity/Q36,,,
25,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/02f927ad-bb4a-4cbe-8c5b-c28729b56113,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_7,Rusland ,http://www.wikidata.org/entity/Q159,,,
1889,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e5d35b0a-a98b-4966-8c3f-ddbf13c18435,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_8,Asterdorp,https://adamlink.nl/geo/street/asterdorp/6015,,,
831,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/68fac1cd-62f8-4f19-ac3b-a2992270f1cb,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_27_tl_8,IJ,http://www.wikidata.org/entity/Q338137,,,
554,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/446a05a1-cb33-403e-93b9-68f80f9f594a,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_63_tl_1,12 augustus 1942                woensdag,,,1942-08-12,
1724,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/cfdb75f2-5ff5-44d3-a559-faa82d3761f0,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_63_tl_2,(Phacro - Egypte),,,,
1855,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e1c9454f-9069-4161-9738-2092a63b9c39,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_15,Belgie ,http://www.wikidata.org/entity/Q31,,,
1193,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/9226ce7e-7b85-41fd-8dab-adf22aa2f348,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_15,Frankrijk,http://www.wikidata.org/entity/Q142,,,
1253,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/99a0c81b-3427-41d4-9806-3c7730bad3e8,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_15,Holland,http://www.wikidata.org/entity/Q55,,,
94,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/0bc63306-57da-4f43-8c9e-99580ddf56e0,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_17,Joden,,,,
1038,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/8082306e-54d6-4035-a0a8-db4f1c99631d,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_18,1933 ,,,1905-04-16,
854,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/6b7bff8e-6e11-47bd-8cd9-5d8e0e551f19,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_18,Duitsche vluchtelingen,,,,
1747,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/d33db042-010d-4c96-a504-0e34a73d60a4,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_19, Engeland.,,,,
1794,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/d9fa952b-179e-48e9-b8e0-186a8ae0086a,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_20,Polen,http://www.wikidata.org/entity/Q36,,,
1388,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/a7cca762-51b4-4b15-a3aa-099e321626a6,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_20,Rusland ,http://www.wikidata.org/entity/Q159,,,
2008,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/f5f695f1-3c7c-4902-be1d-17dbffedb515,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_72_tl_6,Holland ,http://www.wikidata.org/entity/Q55,,,
1922,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/eb0db22a-9ce7-4a43-b4c6-047e0e28486b,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0027_urn-gvn-EVDO01-ROS01_KBN016000002-large_027/r_9_tl_2,11 Augustus 1942,,,1942-08-11,
535,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/40dce942-a683-4370-a4e9-83b8656244ad,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0028_urn-gvn-EVDO01-ROS01_KBN016000002-large_028/l,18 augustus 1942,,,1942-08-18,
401,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/2fbf9818-5f86-4dd3-95ae-db842c2ad176,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_urn-gvn-EVDO01-ROS01_KBN016000001-large_001/r_tl_1,4 Juni 1940,,,1940-06-04,
549,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/43626e67-00e0-4a75-b747-9b4e6f2ad206,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_urn-gvn-EVDO01-ROS01_KBN016000001-large_001/r_tl_3,18 April 194,,,0194-04-18,jaartal?
1863,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/e27876a5-573e-4624-a249-64d639c885a0,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-ROS01_KBN016000001-large_002/tr_2_tl_1,Sam: Goudsmit,http://www.wikidata.org/entity/Q81269469,,,
1551,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/bb28b150-089c-449c-a497-e6b21bef5110,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-ROS01_KBN016000001-large_002/tr_2_tl_2,19 Linnaeushof,https://adamlink.nl/geo/address/A213540,,,
557,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/451274f9-75ba-4026-b625-d2b5031043ae,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-ROS01_KBN016000001-large_002/tr_2_tl_3,Amsterdam O.,,,,Oost?
1748,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/d35ce7e8-eded-495b-8995-f206f445efb1,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-ROS01_KBN016000001-large_002/tr_2_tl_6,29 april 1942,,,1942-04-29,
201,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/17c96fd0-b6a7-4283-b282-f6dc9552ae85,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-ROS01_KBN016000001-large_002/tr_2_tl_6,Juni 1940,,,1940-06-01,
375,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/2c1bba72-ea82-4940-85a3-f8c94bfba7a2,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0009_urn-gvn-EVDO01-ROS01_KBN016000001-large_009/r_36_tl_29,van Marsen,,,,
